,Tag,Short Activity,Location,Price,Time,Duration,Location/Place (Beta),latitude,longitude
0,👀,Sip n Paint,,💸💸,🌚,⏲⏲,Brisbane CBD,-27.466829,153.0273743
1,👀,Ceramic / Pottery Course,,💸💸💸💸,🌞➡🌚,⏲,Brisbane CBD,-27.466829,153.0273743
2,👀,Salsa Dancing 👀,,💸💸,🌞➡🌚,⏲,Bowen Hills,-27.4466752,153.0402224
3,👀,Sauna ,,💸💸💸,🌚,⏲,Woolloongabba,-27.4853896,153.0364488
4,Active,Skateboarding along brisbane river,,-,🌞➡🌚,⏲,Brisbane CBD,-27.466829,153.0273743
5,Active,Gokarting,,💸💸💸💸,🌞➡🌚,⏲⏲,Eagle Farm,-27.4298168,153.0880672
6,Active,Gun Range,,💸💸💸💸,🌞,,Belmont,-27.5147784,153.1268563
7,Active,Arcade,,💸💸,🌚,⏲⏲,Fortitude Valley,-27.4562467,153.0358184
8,Active,Zero Latency,,💸💸💸💸,🌞➡🌚,⏲,Newstead,-27.4453279,153.0444763
9,Active,Pool,,💸,🌞➡🌚,⏲,Brisbane CBD,-27.466829,153.0273743
10,Active,PuttPutt,,💸💸,🌞➡🌚,⏲⏲,Kelvin Grove,-27.4494263,153.011342
11,Active,Rock Climbing,,💸💸,🌞➡🌚,⏲⏲,Newstead,-27.4453279,153.0444763
12,Active,Ice Rink,,💸💸,🌞➡🌚,⏲⏲,Acacia Ridge,-27.5857312,153.025206
13,Active,UrbanXtreme,,💸💸,🌞➡🌚,⏲⏲,Hendra,-27.4182182,153.0720678
14,Active,Bounce/Trampoline Park,,💸💸,🌞➡🌚,⏲⏲,Eight Mile Plains,-27.5779184,153.092299
15,Active,Roller Skating ,,💸💸,🌞,⏲⏲,Hillcrest,-27.3717328,153.0079088
16,Active,B Ball,,-,🌞➡🌚,⏲⏲,Kelvin Grove,-27.4494263,153.011342
17,Active,Indoor Volleyball / sports,,💸💸,🌞➡🌚,⏲⏲,Kelvin Grove,-27.4494263,153.011342
18,Active,Golf (proper with the kart),,💸💸💸,🌞,⏲⏲,Kelvin Grove,-27.4494263,153.011342
19,Active,Bike Trails (can rent probs),,💸💸,🌞,⏲⏲,Mount Coot-Tha,-27.4850319,152.9589108
20,Active,E-scoot scoot round the city,,💸,🌞➡🌚,⏲,Brisbane CBD,-27.466829,153.0273743
21,Active,Paint Ball,,💸💸💸,🌞,⏲⏲,Red Hill,-27.4545228,153.0071405
22,Active,Yoga Class (can Trial),,💸,🌞➡🌚,⏲,Brisbane CBD,-27.466829,153.0273743
23,Active,Tree Top Challenge / Course,,💸💸💸,🌞,⏲⏲,Mount Tamborine,-27.60357,153.0389047
24,Active,Lawn Bowls,,💸,🌞,⏲,New Farm,-27.4654745,153.0461335
25,Active,Parkour Class,,💸,🌞,⏲,Brisbane CBD,-27.466829,153.0273743
26,Active,Hide and Seek ,,-,🌞➡🌚,⏲,Brisbane CBD,-27.466829,153.0273743
27,Active,Driving Range (golf),,💸💸,🌞➡🌚,⏲,Kelvin Grove,-27.4494263,153.011342
28,Active,qld raceway,,💸💸💸💸,🌞,⏲⏲,Kurwongbah,-27.2249845,152.9369831
29,Active,Gym Session,,-,🌞➡🌚,⏲,Brisbane CBD,-27.466829,153.0273743
30,Active ,Axe Throwing,,💸💸💸,🌞➡🌚,⏲,Brisbane CBD,-27.466829,153.0273743
31,Active ,Archery ,,💸💸💸,🌞,⏲⏲,Bridgeman Downs,-27.3562082,152.9944728
32,Chill,Board game night,,-,🌚,⏲⏲⏲,Brisbane CBD,-27.466829,153.0273743
33,Chill,Movie night (maybe horror),,-,🌚,⏲⏲⏲⏲,Brisbane CBD,-27.466829,153.0273743
34,Chill,Stayup and watch the sunrise,,-,🌚,⏲⏲⏲⏲,Mount Coot-Tha,-27.4850319,152.9589108
35,Chill,DnM sesh + Picnic,,-,🌚,⏲,New Farm,-27.4654745,153.0461335
36,Chill,Picnic,,💸,🌞➡🌚,⏲⏲⏲,New Farm,-27.4654745,153.0461335
37,Chill,Jam w/ guitar/instruments sesh,,-,🌞➡🌚,⏲⏲,Kangaroo Point,-27.4736234,153.0364287
38,Chill,Karaoke,,💸💸,🌞➡🌚,⏲,Brisbane CBD,-27.466829,153.0273743
39,Chill,Stargazing,,-,🌚,⏲⏲⏲,Maleny,-26.7585572,152.8531169
40,Chill,Mt Gravatt lookout,,-,🌚,⏲⏲,Mount Gravatt,-27.542717,153.0728955
41,Chill,Update List ,,-,🌞➡🌚,⏲,Brisbane CBD,-27.466829,153.0273743
42,Chill,Trivia Nights ,,-,🌚,⏲⏲,Brisbane CBD,-27.466829,153.0273743
43,Chill ,Chrismas Light Viewing,,-,🌚,⏲,Brisbane CBD,-27.466829,153.0273743
44,Chill ,Escape Room (big brain),,💸💸,🌞➡🌚,⏲,Brisbane CBD,-27.466829,153.0273743
45,Chill ,Friday night Jazz ,,💸,🌚,⏲⏲⏲,Brisbane CBD,-27.466829,153.0273743
46,Chill ,Photo Shoots (car convoy),,-,🌞➡🌚,⏲⏲,Brisbane CBD,-27.466829,153.0273743
47,Chill ,Yatala Drive in Cinema,,💸💸,🌚,⏲⏲,Yatala,-27.7352654,153.2252177
48,Chill,Animal Sanctuary,,💸💸,🌞,⏲⏲,Burbank,-27.5583324,153.1588898
49,Exhibition,Lego exhibition,,💸💸,🌞,⏲⏲,South Brisbane,-27.482134,153.0223507
50,Exhibition,Drag Race (Raceway),,💸,🌞➡🌚,⏲,Kurwongbah,-27.2249845,152.9369831
51,Exhibition,Van Gogh Exhibition,,💸💸,🌞,⏲⏲,Hamilton,-27.4384043,153.0611639
52,Food,BBQ,Park,💸,🌞,⏲⏲⏲,New Farm,-27.4654745,153.0461335
53,Food,Spicy Wing challenge,Yard Doggs,💸💸,🌞➡🌚,⏲⏲,Fortitude Valley,-27.4562467,153.0358184
54,Food,Cooking Class / ,,💸,🌞➡🌚,⏲,Brisbane CBD,-27.466829,153.0273743
55,Food,Cook Off,,💸,🌞➡🌚,⏲⏲,Brisbane CBD,-27.466829,153.0273743
56,Food ,Unli Wing challenge,Seoul Bistro,💸💸,🌞➡🌚,⏲⏲,Sunnybank,-27.5752834,153.0557235
